asset_type,asset_type_category,asset_type_category_raf_reviewed,asset_gics_industry,industry_code
indonesian restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Indoor golf course,Retail,Other (20km buffer area of influence),"Hotels, Restaurants & Leisure",253010
Italian restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Japanese restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
juice shop,Retail,,"Hotels, Restaurants & Leisure",253010
Korean restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Lounge,Retail,,"Hotels, Restaurants & Leisure",253010
malaysian restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
massage spa,Retail,,"Hotels, Restaurants & Leisure",253010
meal delivery,Retail,,"Hotels, Restaurants & Leisure",253010
Mexican restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Mobile caterer,Retail,,"Hotels, Restaurants & Leisure",253010
Night club,Retail,Other (5km buffer area of influence),"Hotels, Restaurants & Leisure",253010
noodle shop,Retail,,"Hotels, Restaurants & Leisure",253010
North Indian restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
pastry shop,Retail,,"Hotels, Restaurants & Leisure",253010
Pizza delivery,Retail,,"Hotels, Restaurants & Leisure",253010
Pizza restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Pizza Takeout,Retail,,"Hotels, Restaurants & Leisure",253010
Raft trip outfitter,Retail,Other (5km buffer area of influence),"Hotels, Restaurants & Leisure",253010
Ramen restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Restaurant supply store,Retail,,"Hotels, Restaurants & Leisure",253010
Salad shop,Retail,,"Hotels, Restaurants & Leisure",253010
Sandwich shop,Retail,,"Hotels, Restaurants & Leisure",253010
Screen golf driving range,Retail,Other (20km buffer area of influence),"Hotels, Restaurants & Leisure",253010
Seafood restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
self service restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Shabu-shabu restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
shanghainese restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Shared-use commercial kitchen,Retail,,"Hotels, Restaurants & Leisure",253010
sichuan restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Sports bar,Retail,,"Hotels, Restaurants & Leisure",253010
Steak house,Retail,,"Hotels, Restaurants & Leisure",253010
Sukiyaki and Shabu Shabu restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Sushi restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Takeout Restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Tea Shop,Retail,,"Hotels, Restaurants & Leisure",253010
Tex-Mex restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Thai restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Theme park,Retail,Other (20km buffer area of influence),"Hotels, Restaurants & Leisure",253010
thermal baths,Retail,,"Hotels, Restaurants & Leisure",253010
Tourist attraction,Retail,Other (5km buffer area of influence),"Hotels, Restaurants & Leisure",253010
tours,Retail,,"Hotels, Restaurants & Leisure",253010
Traditional American restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Turkish restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
vegan restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Video arcade,Retail,,"Hotels, Restaurants & Leisure",253010
Vietnamese restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Wedding venue,Retail,,"Hotels, Restaurants & Leisure",253010
Yemeni restaurant,Retail,,"Hotels, Restaurants & Leisure",253010
Air conditioning store,Retail,,Household Durables,252010
Appliance store,Retail,,Household Durables,252010
Appliances,Retail,,Household Durables,252010
Carpet store,Retail,,Household Durables,252010
Flooring store,Retail,,Household Durables,252010
Furniture,Retail,,Household Durables,252010
Furniture store,Retail,,Household Durables,252010
Furniture wholesaler,Retail,Retail,Household Durables,252010
home appliances,Retail,,Household Durables,252010
Home goods store,Retail,,Household Durables,252010
home improvement shop,Retail,,Household Durables,252010
Kitchen Furniture Shop,Retail,,Household Durables,252010
Lawn mower store,Retail,,Household Durables,252010
Mattress store,Retail,,Household Durables,252010
Mobile home dealer,Retail,,Household Durables,252010
Office furniture store,Retail,,Household Durables,252010
Outdoor furniture store,Retail,,Household Durables,252010
Refrigerator store,Retail,,Household Durables,252010
Swimming pool repair service,Retail,Retail,Household Durables,252010
Swimming pool supply store,Retail,,Household Durables,252010
Wallpaper store,Retail,,Household Durables,252010
Wholesaler household appliances,Retail,Retail,Household Durables,252010
chinaware store,Retail,,Household Products,303010
door shop,Retail,,Household Products,303010
Electrical appliance wholesaler,Retail,Retail,Household Products,303010
Glassware wholesaler,Retail,Retail,Household Products,303010
kitchen furniture store,Retail,,Household Products,303010
Linens store,Retail,,Household Products,303010
plywood supplier,Retail,,Household Products,303010
pneumatic tools supplier,Retail,,Household Products,303010
Computer repair service,Retail,,IT Services,451020
Internet shop,Retail,,IT Services,451020
Camping store,Retail,,Leisure Products,252020
Exercise equipment store,Retail,,Leisure Products,252020
Fitness equipment wholesaler,Retail,Retail,Leisure Products,252020
Golf shop,Retail,,Leisure Products,252020
Musical instrument store,Retail,,Leisure Products,252020
Running store,Retail,,Leisure Products,252020
Skateboard shop,Retail,Retail,Leisure Products,252020
ski rental service,Retail,,Leisure Products,252020
Diesel engine dealer,Retail,,Machinery,201060
Industrial spares and products wholesaler,Retail,Retail,Machinery,201060
Millwork shop,Retail,Retail,Machinery,201060
Tool wholesaler,Retail,Retail,Machinery,201060
Marine supply store,Retail,,Marine Transportation,203030
Bookbinder,Retail,,Media,502010
cinema,Retail,,Media,502010
game store,Retail,,Media,502010
live music venue,Retail,,Media,502010
Movie theater,Retail,Other (5km buffer area of influence),Media,502010
music,Retail,,Media,502010
Print shop,Retail,Retail,Media,502010
Coin dealer,Retail,,Metals & Mining,151040
Gold dealer,Retail,,Metals & Mining,151040
Scrap metal dealer,Retail,Retail,Metals & Mining,151040
Alternative fuel station,Retail,Retail,"Oil, Gas & Consumable Fuels",101020
Compressed natural gas station,Retail,Retail,"Oil, Gas & Consumable Fuels",101020
Gas shop,Retail,Retail,"Oil, Gas & Consumable Fuels",101020
Gas station,Retail,,"Oil, Gas & Consumable Fuels",101020
petrol station,Retail,Retail,"Oil, Gas & Consumable Fuels",101020
Lumber store,Retail,,Paper & Forest Products,151050
Stationery store,Retail,,Paper & Forest Products,151050
Woodworking supply store,Retail,,Paper & Forest Products,151050
Barber supply store,Retail,,Personal Care Products,303020
Beauty salon,Retail,,Personal Care Products,303020
Beauty supply store,Retail,,Personal Care Products,303020
Cosmetics shop,Retail,,Personal Care Products,303020
Cosmetics store,Retail,,Personal Care Products,303020
Cosmetics wholesaler,Retail,Retail,Personal Care Products,303020
Health and beauty shop,Retail,,Personal Care Products,303020
Hygiene articles wholesaler,Retail,Retail,Personal Care Products,303020
Perfume store,Retail,,Personal Care Products,303020
photo lab,Retail,,Personal Care Products,303020
Vitamin & supplements store,Retail,,Personal Care Products,303020
chemist,Retail,,Pharmaceuticals,352020
Chinese medicine store,Retail,,Pharmaceuticals,352020
Herbal medicine store,Retail,,Pharmaceuticals,352020
Medical supply store,Retail,,Pharmaceuticals,352020
Pharmacy,Retail,,Pharmaceuticals,352020
Florist,Retail,,Professional Services,202020
Computer software store,Retail,,Software,451030
aircraft supply shop,Retail,,Specialty Retail,255040
Aircraft supply store,Retail,,Specialty Retail,255040
apparel company,Retail,,Specialty Retail,255040
Art gallery,Retail,,Specialty Retail,255040
audio visual equipment repair service,Retail,,Specialty Retail,255040
Baby store,Retail,,Specialty Retail,255040
Baking supply store,Retail,,Specialty Retail,255040
Bar restaurant furniture store,Retail,,Specialty Retail,255040
Bead store,Retail,,Specialty Retail,255040
bedding store,Retail,,Specialty Retail,255040
belt shop,Retail,,Specialty Retail,255040
bicycle rack,Retail,,Specialty Retail,255040
Bicycle wholesaler,Retail,Retail,Specialty Retail,255040
bicycles,Retail,,Specialty Retail,255040
Book store,Retail,,Specialty Retail,255040
Burglar alarm store,Retail,,Specialty Retail,255040
Cabinet store,Retail,,Specialty Retail,255040
Camera store,Retail,,Specialty Retail,255040
Cannabis store,Retail,,Specialty Retail,255040
car battery store,Retail,,Specialty Retail,255040
car detailing service,Retail,,Specialty Retail,255040
cell phone accessory store,Retail,,Specialty Retail,255040
Cell phone store,Retail,,Specialty Retail,255040
children's store,Retail,,Specialty Retail,255040
clothes market,Retail,,Specialty Retail,255040
clothing,Retail,,Specialty Retail,255040
clothing wholesaler,Retail,,Specialty Retail,255040
Collectibles store,Retail,,Specialty Retail,255040
condiments supplier,Retail,,Specialty Retail,255040
consignment shop,Retail,,Specialty Retail,255040
copy shop,Retail,,Specialty Retail,255040
Copying supply store,Retail,,Specialty Retail,255040
diamond dealer,Retail,,Specialty Retail,255040
Do-it-yourself shop,Retail,,Specialty Retail,255040
doll store,Retail,,Specialty Retail,255040
ds automobiles dealer,Retail,,Specialty Retail,255040
Educational supply store,Retail,,Specialty Retail,255040
electric motor vehicle dealer,Retail,,Specialty Retail,255040
electric motorcycle dealer,Retail,,Specialty Retail,255040
electronics hire shop,Retail,,Specialty Retail,255040
electronics vending machine,Retail,,Specialty Retail,255040
figurine shop,Retail,,Specialty Retail,255040
Fishing store,Retail,,Specialty Retail,255040
Flag store,Retail,,Specialty Retail,255040
formal wear store,Retail,,Specialty Retail,255040
furnace store,Retail,,Specialty Retail,255040
Garden center,Retail,,Specialty Retail,255040
Gift basket store,Retail,,Specialty Retail,255040
Gift shop,Retail,,Specialty Retail,255040
greeting card shop,Retail,,Specialty Retail,255040
Handicraft,Retail,,Specialty Retail,255040
Hobby store,Retail,,Specialty Retail,255040
Home theater store,Retail,,Specialty Retail,255040
iron and steel store,Retail,,Specialty Retail,255040
jaguar dealer,Retail,,Specialty Retail,255040
kia dealer,Retail,,Specialty Retail,255040
Landscaping supply store,Retail,,Specialty Retail,255040
laundromat,Retail,,Specialty Retail,255040
laundry,Retail,,Specialty Retail,255040
laundry service,Retail,,Specialty Retail,255040
Lottery retailer,Retail,,Specialty Retail,255040
Lottery shop,Retail,,Specialty Retail,255040
Luggage store,Retail,,Specialty Retail,255040
mg dealer,Retail,,Specialty Retail,255040
Mobile Phone Shop,Retail,,Specialty Retail,255040
motorcycle repair shop,Retail,,Specialty Retail,255040
novelty store,Retail,,Specialty Retail,255040
Outdoor clothing and equipment shop,Retail,,Specialty Retail,255040
Outdoor sports store,Retail,,Specialty Retail,255040
pet care,Retail,,Specialty Retail,255040
Pet store,Retail,,Specialty Retail,255040
Pet supply store,Retail,,Specialty Retail,255040
pottery store,Retail,,Specialty Retail,255040
poultry store,Retail,,Specialty Retail,255040
protective clothing supplier,Retail,,Specialty Retail,255040
radiator shop,Retail,,Specialty Retail,255040
reptile store,Retail,,Specialty Retail,255040
rv supply store,Retail,,Specialty Retail,255040
Screen printing supply store,Retail,,Specialty Retail,255040
seal shop,Retail,,Specialty Retail,255040
seat dealer,Retail,,Specialty Retail,255040
second hand store,Retail,,Specialty Retail,255040
shoe shop,Retail,,Specialty Retail,255040
Showroom,Retail,,Specialty Retail,255040
Ski shop,Retail,,Specialty Retail,255040
smart car dealer,Retail,,Specialty Retail,255040
smoke shop,Retail,,Specialty Retail,255040
Souvenir store,Retail,,Specialty Retail,255040
Sports memorabilia store,Retail,,Specialty Retail,255040
sports nutrition store,Retail,,Specialty Retail,255040
sunglasses store,Retail,,Specialty Retail,255040
t-shirt store,Retail,,Specialty Retail,255040
textile merchant,Retail,,Specialty Retail,255040
thrift store,Retail,,Specialty Retail,255040
tile store,Retail,,Specialty Retail,255040
Tool store,Retail,,Specialty Retail,255040
Toy store,Retail,,Specialty Retail,255040
utility trailer dealer,Retail,,Specialty Retail,255040
vacuum cleaner repair shop,Retail,,Specialty Retail,255040
vacuum cleaner store,Retail,,Specialty Retail,255040
vehicle repair shop,Retail,,Specialty Retail,255040
video conferencing equipment supplier,Retail,,Specialty Retail,255040
Video game store,Retail,,Specialty Retail,255040
washer & dryer store,Retail,,Specialty Retail,255040
waxing hair removal service,Retail,,Specialty Retail,255040
wheel alignment service,Retail,,Specialty Retail,255040
window tinting service,Retail,,Specialty Retail,255040
Wood stove shop,Retail,,Specialty Retail,255040
yarn store,Retail,,Specialty Retail,255040
Battery store,Retail,,"Technology Hardware, Storage & Peripherals",452020
Battery wholesaler,Retail,Retail,"Technology Hardware, Storage & Peripherals",452020
Computer accessories store,Retail,,"Technology Hardware, Storage & Peripherals",452020
Computer store,Retail,,"Technology Hardware, Storage & Peripherals",452020
Hardware store,Retail,,"Technology Hardware, Storage & Peripherals",452020
Printing equipment and supplies,Retail,,"Technology Hardware, Storage & Peripherals",452020
Baby clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Bag shop,Retail,,"Textiles, Apparel & Luxury Goods",252030
Boot store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Boutique,Retail,,"Textiles, Apparel & Luxury Goods",252030
Children's clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Clothing Shop,Retail,,"Textiles, Apparel & Luxury Goods",252030
Designer clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Dress store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Duty free store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Fabric store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Fabric wholesaler,Retail,Retail,"Textiles, Apparel & Luxury Goods",252030
Fashion accessories store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Footwear wholesaler,Retail,,"Textiles, Apparel & Luxury Goods",252030
Haute couture fashion house,Retail,,"Textiles, Apparel & Luxury Goods",252030
Jeweler,Retail,,"Textiles, Apparel & Luxury Goods",252030
Jewellery Store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Jewelry store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Leather goods store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Lingerie store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Lingerie wholesaler,Retail,Retail,"Textiles, Apparel & Luxury Goods",252030
Men's clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Orthopedic shoe store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Plus size clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Shoe store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Underwear store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Uniform store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Used clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Watch store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Western apparel store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Wholesale jeweler,Retail,Retail,"Textiles, Apparel & Luxury Goods",252030
Women's clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Work clothes store,Retail,,"Textiles, Apparel & Luxury Goods",252030
Youth clothing store,Retail,,"Textiles, Apparel & Luxury Goods",252030
cigar shop,Retail,,Tobacco,302030
Tobacco shop,Retail,,Tobacco,302030
Pawn shop,Retail,,Trading Companies & Distributors,201070
Wine wholesaler and importer,Retail,Retail,Trading Companies & Distributors,201070
Bay,Transportation and Logistics Facility,,?,
Airport,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Container service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Container terminal,Transportation and Logistics Facility,,Air Freight & Logistics,203010
domestic airport,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Fixed-base operator,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Freight forwarding service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Freight Forwarding Service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Helicopter charter,Transportation and Logistics Facility,,Air Freight & Logistics,203010
International airport,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Logistics,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Logistics service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Mailing service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Moving and storage service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Moving company,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Package locker,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Shipping and mailing,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Shipping and mailing service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Shipping company,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Transportation service,Transportation and Logistics Facility,,Air Freight & Logistics,203010
Car rental agency,Transportation and Logistics Facility,,Automobiles,251020
Garbage collection service,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
post office/courier,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
rental car return location,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
toll road rest stop,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
towing equipment provider,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
Towing service,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
trailer rental service,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
truck rental agency,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
vehicle shipping agent,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
Waste transfer station,Transportation and Logistics Facility,,Commercial Services & Supplies,202010
Aggregate supplier,Transportation and Logistics Facility,Transportation and Logistics Facility,Construction Materials,151020
Crushed stone supplier,Transportation and Logistics Facility,Transportation and Logistics Facility,Construction Materials,151020
Beer distributor,Transportation and Logistics Facility,Transportation and Logistics Facility,Consumer Staples Distribution & Retail,301010
Beverage distributor,Transportation and Logistics Facility,Transportation and Logistics Facility,Consumer Staples Distribution & Retail,301010
Milk delivery service,Transportation and Logistics Facility,Transportation and Logistics Facility,Consumer Staples Distribution & Retail,301010
Courier service,Transportation and Logistics Facility,,Distributors,255010
Delivery Company,Transportation and Logistics Facility,,Distributors,255010
Delivery service,Transportation and Logistics Facility,,Distributors,255010
Distributors,Transportation and Logistics Facility,Transportation and Logistics Facility,Distributors,255010
Grocery delivery service,Transportation and Logistics Facility,,Distributors,255010
Grain elevator,Transportation and Logistics Facility,Transportation and Logistics Facility,Food Products,302020
Bus charter,Transportation and Logistics Facility,,Ground Transportation,203040
Bus company,Transportation and Logistics Facility,,Ground Transportation,203040
Bus station,Transportation and Logistics Facility,,Ground Transportation,203040
Bus stop,Transportation and Logistics Facility,,Ground Transportation,203040
Mover,Transportation and Logistics Facility,,Ground Transportation,203040
Public Transport Station,Transportation and Logistics Facility,,Ground Transportation,203040
Public transportation system,Transportation and Logistics Facility,,Ground Transportation,203040
Railway services,Transportation and Logistics Facility,,Ground Transportation,203040
Refrigerated transport service,Transportation and Logistics Facility,,Ground Transportation,203040
Taxi service,Transportation and Logistics Facility,,Ground Transportation,203040
Train depot,Transportation and Logistics Facility,,Ground Transportation,203040
Train station,Transportation and Logistics Facility,,Ground Transportation,203040
Train yard,Transportation and Logistics Facility,,Ground Transportation,203040
Truck stop,Transportation and Logistics Facility,,Ground Transportation,203040
Cruise line company,Transportation and Logistics Facility,,"Hotels, Restaurants & Leisure",253010
Cruise terminal,Transportation and Logistics Facility,,"Hotels, Restaurants & Leisure",253010
Travel lounge,Transportation and Logistics Facility,,"Hotels, Restaurants & Leisure",253010
dock builder,Transportation and Logistics Facility,,Marine Transportation,203030
harbor,Transportation and Logistics Facility,,Marine Transportation,203030
Marina,Transportation and Logistics Facility,,Marine Transportation,203030
seaport,Transportation and Logistics Facility,,Marine Transportation,203030
Sand & gravel supplier,Transportation and Logistics Facility,Transportation and Logistics Facility,Metals & Mining,151040
Sand and Gravel Supplier,Transportation and Logistics Facility,Transportation and Logistics Facility,Metals & Mining,151040
Steel distributor,Transportation and Logistics Facility,Transportation and Logistics Facility,Metals & Mining,151040
Coal Terminal,Transportation and Logistics Facility,,"Oil, Gas & Consumable Fuels",101020
coal_terminal,Transportation and Logistics Facility,,"Oil, Gas & Consumable Fuels",101020
Paper distributor,Transportation and Logistics Facility,Transportation and Logistics Facility,Paper & Forest Products,151050
Air taxi,Transportation and Logistics Facility,,Passenger Airlines,203020
Airline,Transportation and Logistics Facility,,Passenger Airlines,203020
Airplane,Transportation and Logistics Facility,,Passenger Airlines,203020
Aviation,Transportation and Logistics Facility,,Passenger Airlines,203020
Aviation industry,Transportation and Logistics Facility,,Passenger Airlines,203020
Equipment importer,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Exporter,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Food and beverage exporter,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Garment exporter,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Import export company,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Importer,Transportation and Logistics Facility,,Trading Companies & Distributors,201070
Perfume exporter,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Spice exporter,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
Textile exporter,Transportation and Logistics Facility,,Trading Companies & Distributors,201070
Vehicle exporter,Transportation and Logistics Facility,Transportation and Logistics Facility,Trading Companies & Distributors,201070
bridge,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Bus depot,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Ferry terminal,Transportation and Logistics Facility,Transportation and Logistics Facility,Transportation Infrastructure,203050
metropolitan train company,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Parking,Transportation and Logistics Facility,,Transportation Infrastructure,203050
parking garage,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Port,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Port authority,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Port operating company,Transportation and Logistics Facility,,Transportation Infrastructure,203050
public parking space,Transportation and Logistics Facility,,Transportation Infrastructure,203050
rest stop,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Transit depot,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Transport hub,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Transportation infrastructure,Transportation and Logistics Facility,,Transportation Infrastructure,203050
Warehouse club,Warehouse,,Broadline Retail,255030
Warehouse store,Warehouse,,Broadline Retail,255030
bottle & can redemption center,Warehouse,,Commercial Services & Supplies,202010
Cold storage facility,Warehouse,,Consumer Staples Distribution & Retail,301010
fruit and vegetable wholesaler,Warehouse,,Consumer Staples Distribution & Retail,301010
lighting products wholesaler,Warehouse,,Consumer Staples Distribution & Retail,301010
seafood wholesaler,Warehouse,,Consumer Staples Distribution & Retail,301010
Storage facility,Warehouse,,Consumer Staples Distribution & Retail,301010
Warehouse,Warehouse,,Consumer Staples Distribution & Retail,301010
wine storage facility,Warehouse,,Consumer Staples Distribution & Retail,301010
fertiliser supplier,Warehouse,,Distributors,255010
medicine exporter,Warehouse,,Distributors,255010
molding supplier,Warehouse,,Distributors,255010
"Cold storage facility, Meat processor",Warehouse,,Food Products,302020
Woods,Warehouse,Other (20km buffer area of influence),Paper & Forest Products,151050
Records storage facility,Warehouse,,Real Estate Management & Development,602010
Self-storage facility,Warehouse,,Real Estate Management & Development,602010
Storage,Warehouse,,Real Estate Management & Development,602010
car parts wholesaler,Warehouse,,Specialty Retail,255040
clothes and fabric wholesaler,Warehouse,,Specialty Retail,255040
Customs warehouse,Warehouse,,Trading Companies & Distributors,201070
Reservoir,Warehouse,Other (20km buffer area of influence),Water Utilities,551040
Water Reservoir,Warehouse,Other (20km buffer area of influence),Water Utilities,551040
unknown,,Other (20km buffer area of influence),,
